"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1181","Xpot",1214.548,1256.386,568.07,572.6894,1062.598187,1014.507191,564.1293621,515.6159472,"DBT"
"1189","Adcy5",968.9000661,1062.84721,450.6601805,449.0642485,1223.452684,1124.031313,748.8396605,747.3343555,"DBT"
"1192","Erfe",298.777982,323.9430018,39.01278089,37.98294368,257.9052713,296.0335509,203.284031,173.1930265,"DBT"
"1195","Mrto4",1256.117,1267.553,650.0134,639.7121,1043.773915,1085.397306,610.0279763,732.6714525,"DBT"
"1196","Fubp1",5212.855084,4935.00523,2954.279762,2798.71664,4625.838247,4431.647457,3365.379765,3303.40039,"DBT"
"1197","Herpud1",1527.748,1571.459,827.428,815.5366,1429.690331,1487.568058,929.5796148,898.5019543,"DBT"
"1205","Cct2",3570.325954,3535.125133,2163.967691,2076.720839,3122.32696,3150.674867,2318.17971,2543.956584,"DBT"
"1207","Hnrnpa1",26791.77,26015.61,17063.89,16347.42,20645.68325,21511.5944,18237.69469,20180.28722,"DBT"
"1209","Rpl27",1719.547,1838.905,901.1183,903.7566,1377.132308,1491.871344,1092.655988,1246.691272,"DBT"
"1215","Pcolce2",926.0028,1115.665,58.2245,78.23149,663.9763291,703.9900521,82.16472091,99.70493343,"DBT"
"1217","Ankrd1",2778.172639,2742.893342,588.8022458,433.6853358,3440.716375,3568.984292,1188.284783,1273.001741,"DBT"
"1219","Pdcd11",4014.003,3946.608,2255.534,2367.321,3427.988242,3551.421303,2178.347304,2171.280747,"DBT"
"1229","Senp5",1654.245,1585.288,867.8941,805.8304,1582.301676,1585.525982,926.4179144,875.5620883,"DBT"
"1231","AC109138.8",1562.362727,1492.910913,118.5821109,180.8028549,1516.211158,1530.720605,103.3644637,123.9896169,"DBT"
"1232","Kctd9",2030.454,2017.324,869.3936,874.7951,1577.700888,1575.251051,984.8797929,1022.106935,"DBT"
"1248","Dzip1l",1940.363996,1919.271039,917.3132723,838.7137654,2048.963368,2045.376379,1410.058107,1416.670651,"DBT"
"1249","Eif3j2",1347.961384,1286.685649,585.5939231,537.4795249,978.7579304,980.0052442,564.5199192,636.1484329,"DBT"
"1253","Slc39a6",1166.091,1153.355,624.234,585.731,1132.429798,1116.616128,790.8150632,743.0320202,"DBT"
"1255","Epb41l3",6911.95727,6056.573421,2459.260314,2148.601658,7826.482571,7778.322929,3943.263349,3364.60675,"DBT"
"1258","Ktn1",3227.572,3122.083,1615.204,1434.879,3014.704801,2952.878745,1732.788235,1502.619249,"DBT"
"1262","Tnfsf15",208.0663,228.6393,19.32584,19.54148,253.3976856,261.4779604,28.36489088,36.97070696,"DBT"
"1266","Eef1g",15018.1872,14867.28555,9671.736927,9445.035029,13834.11971,13807.16172,10789.41936,11602.44813,"DBT"
"1273","Actn4",15429.39691,15410.49114,9417.190486,9832.357253,17113.84094,17077.06585,10556.0876,10370.50622,"DBT"
"1274","Cdc42bpa",4567.925762,4710.859365,2096.377358,1791.357442,4988.881712,4829.405728,4420.345697,4483.982834,"DBT"
"1275","Tead3",2558.993,2529.679,1392.633,1359.847,2256.556604,2097.381625,1729.26124,1554.447394,"DBT"
"1282","Itga3",365.3022,357.9216,112.1857,100.1374,758.5646239,728.9870355,362.3412428,344.1437725,"DBT"
