ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-574-3p,14846,10669,19646,11161
mmu-miR-5710,0,0,0,2
mmu-miR-5709-5p,14,5,6,7
mmu-miR-5709-3p,2,1,0,0
mmu-miR-5627-5p,4,8,1,1
mmu-miR-5627-3p,2,3,0,0
mmu-miR-5626-5p,0,0,1,0
mmu-miR-5626-3p,14,9,11,4
mmu-miR-5625-3p,0,2,0,0
mmu-miR-5624-5p,4,2,10,3
mmu-miR-5624-3p,0,0,2,2
mmu-miR-5623-5p,0,0,0,0
mmu-miR-5622-5p,4,4,8,7
mmu-miR-5622-3p,4,0,0,0
mmu-miR-5621-5p,3,2,3,3
mmu-miR-5621-3p,15,11,6,2
mmu-miR-5620-5p,6,4,3,2
mmu-miR-5620-3p,10,3,8,3
mmu-miR-5619-5p,1,1,0,1
mmu-miR-5619-3p,0,0,5,1
mmu-miR-5618-5p,0,0,1,0
mmu-miR-5617-5p,6,4,0,1
mmu-miR-5616-5p,3,0,6,0
mmu-miR-5616-3p,6,3,6,0
mmu-miR-5615-5p,4,3,2,5
mmu-miR-5615-3p,0,0,1,0
mmu-miR-551b-3p,0,0,0,0
mmu-miR-547-5p,0,0,2,0
mmu-miR-547-3p,1,0,5,5
mmu-miR-546,0,2,2,0
mmu-miR-544-5p,11,6,21,17
mmu-miR-544-3p,14,17,21,18
mmu-miR-543-5p,119,54,104,46
mmu-miR-543-3p,6850,3644,4223,4001
mmu-miR-542-5p,279,174,335,149
mmu-miR-542-3p,10649,5939,29745,20421
mmu-miR-541-5p,75812,53396,83626,58590
mmu-miR-541-3p,712,457,684,462
mmu-miR-540-5p,6108,6858,5072,3350
mmu-miR-540-3p,3436,3047,3036,2367
mmu-miR-539-5p,229,128,286,156
mmu-miR-539-3p,161,64,76,73
mmu-miR-532-5p,11763,10448,21736,9741
mmu-miR-532-3p,1142,1166,2866,1094
mmu-miR-5136,0,1,1,0
mmu-miR-5135,0,0,0,0
