"","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"455","Galnt6",64.7008582,69.92222971,2052.060062,3219.197777,25.40259167,24.95793211,245.1920496,403.1420751,"UBT"
"456","Appl2",182.4808624,200.8259919,855.1045464,865.4973277,255.0028636,290.5961988,737.8758302,709.0942958,"UBT"
"457","Fcgr3",261.4060581,287.4942972,7659.69768,11841.37439,132.5028968,134.431203,1133.901023,1829.258752,"UBT"
"459","Sort1",757.3902,752.0872,1902.084,1949.401,1086.778106,1074.992254,2991.543033,2905.267267,"UBT"
"460","Ednra",455.0201424,435.1978353,1366.628412,1219.294287,499.5786007,496.2688476,1973.015459,1704.050413,"UBT"
"461","Mest",198.546,206.6714,927.7721,778.068,332.0181935,300.044242,1981.286057,1818.041618,"UBT"
"462","C1qtnf6",2966.418436,3004.845698,8097.939006,7198.625346,2845.151777,2827.752249,9594.397214,9788.846701,"UBT"
"463","Aif1",13.4577188,11.82129041,529.415581,714.1198807,6.021668401,3.25555013,119.2231949,220.3392893,"UBT"
"464","Cotl1",1082.103759,1178.923406,8590.347717,11127.74517,1293.334558,1292.741289,2961.525866,3542.83858,"UBT"
"465","G0s2",17.97588249,22.04281861,486.8941648,445.9884659,29.31595889,31.4285071,414.2740419,558.3896526,"UBT"
"466","H3f3a",5941.322,6047.454,11727.3,11756.08,5321.742192,5154.872301,11284.11426,13123.15384,"UBT"
"467","Lgals3",2664.642,2608.327,46359.57,68217.84,1642.385904,1508.772601,6285.13389,8844.64644,"UBT"
"469","Cmya5",33.2553826,31.62665279,517.4665891,378.3212504,34.20195204,41.59655352,463.5674089,349.3893668,"UBT"
"470","Ms4a14",17.97588,23.0012,454.0571,616.1818,12.70358219,7.394942848,78.65962821,126.6668399,"UBT"
"474","Mndal",42.99662,40.78135,597.601,580.5996,38.20123868,38.64239376,297.2229105,222.6251772,"UBT"
"475","Gm4951",16.18644,17.25117,593.6459,403.2497,14.53351292,4.831053884,747.0530529,513.6064211,"UBT"
"477","Atraid",904.1670306,884.9288503,2175.16792,2043.043815,962.4709583,924.5741158,2164.810192,2128.554765,"UBT"
"479","Fermt3",183.3540014,206.0524348,4482.823252,6752.3679,67.42670545,70.25195706,747.7908655,1232.890575,"UBT"
"480","Lbp",151.1813,116.026,1621.988,1985.28,86.78323272,107.7550378,768.81077,591.6993779,"UBT"
"481","Syngr1",29.03311,36.98674,1399.436,2187.528,22.78909155,20.49476037,201.0619432,320.8864576,"UBT"
"484","Tmem106a",236.8283,280.1204,3439.408,4680.326,236.9443609,224.8739267,1228.77909,1288.830596,"UBT"
"485","C3",6.454628238,5.848092621,271.8749652,365.5398145,5.391888003,4.760386041,66.70359122,40.14327194,"UBT"
"487","Idh2",1206.011,1156.853,2552.718,2676.989,809.0978494,813.7325017,2585.181645,2972.106447,"UBT"
"488","Ddx60",11.8418847,9.926717772,328.6122402,245.8272074,12.31600094,25.1257052,248.1554114,177.7701966,"UBT"
"491","Ddah2",834.1147318,865.89894,2263.064912,2021.062512,766.2733495,790.7319315,2188.386684,2168.499194,"UBT"
"492","Dock2",69.75695348,98.65293451,2777.051799,3842.74062,28.57034873,22.87005519,458.637144,728.9570182,"UBT"
"493","Plxdc1",26.811,28.67513,493.6261,728.665,18.00220191,25.07501704,162.049874,201.1462895,"UBT"
"494","Rbp1",236.4207,259.8912,882.3178,906.6741,218.8927655,246.4168147,1030.783806,672.5935124,"UBT"
"495","Ang",242.6665936,256.8985084,874.7707796,996.4274034,259.466377,207.5977992,497.9087307,496.1655264,"UBT"
"497","Entpd2",23.59897312,20.03315849,518.8237676,570.2350537,15.23684963,17.40536227,279.5987411,281.4936817,"UBT"
"499","Col1a1",22322.71161,22265.05202,43608.43916,40464.74768,19417.63582,19997.31175,59475.03448,62485.91926,"UBT"
"500","Parp10",179.871,198.5251,1194.12,1014.022,288.584985,274.8097124,1028.57923,855.3301977,"UBT"
"501","Nagk",1226.339,1271.355,2728.371,2908.879,1223.387883,1216.816241,2303.40424,2306.97441,"UBT"
"502","Itm2c",5232.703,5437.362,10226.86,10220.04,5782.23799,5689.039548,11970.56525,12029.66269,"UBT"
"503","Fgd4",140.8193377,169.0343339,847.7350266,975.7238065,188.0157627,176.6040485,400.6606378,458.2815238,"UBT"
"504","Itga4",43.09238,47.98944,390.6071,515.0083,25.04480298,20.48723479,76.92168843,113.2022389,"UBT"
"505","Use1",1695.146,1716.458,3563.77,3804.997,1618.295883,1830.779582,3379.819872,3619.396016,"UBT"
"506","Pkn1",933.7981,937.7191,2397.962,2733.813,961.0714407,878.6746224,1445.267157,1494.375842,"UBT"
"507","Pira2",52.33303,51.12294,474.581,629.4351,16.01681237,7.64462071,37.92337502,84.10864259,"UBT"
"509","Dennd1c",19.77347074,23.95958544,417.8231321,498.2767688,7.817589038,2.773103568,54.53734222,100.2779149,"UBT"
"511","Comp",31.14317654,33.76816846,229.8024666,295.2101419,57.17391783,56.57754102,133.5005594,154.5335233,"UBT"
"512","Dapk1",1482.5928,1418.196109,3260.44628,3316.747199,1452.120155,1489.316052,2803.615136,2402.601798,"UBT"
"513","Oaz1",6081.51,5904.326,12747.62,14102.51,5193.769089,5357.344791,11875.75855,13370.12338,"UBT"
"514","Trex1",241.9973,266.6191,934.1049,936.8993,226.6074812,201.3151437,524.5718441,474.1562378,"UBT"
"515","Ccdc88b",47.6360886,63.25330557,889.9972408,1149.317403,11.72638356,16.63862141,121.660225,239.6114388,"UBT"
"516","Eepd1",37.9752717,42.72887744,320.3114753,381.2469183,27.13081331,31.55294946,172.7459476,241.3192316,"UBT"
"517","Capn6",612.3705626,548.1726514,8459.6549,6192.452001,676.1833669,640.1770093,11626.93952,11504.47589,"UBT"
"518","Fli1",123.9095197,126.8712163,669.1140382,845.1331925,121.1609577,120.9450956,357.8949459,350.4205312,"UBT"
"519","Dbp",118.9287271,137.9037572,604.7021885,615.2481369,134.5419996,115.5416201,641.7323028,702.8774061,"UBT"
"520","Angpt2",94.44992786,80.38323454,813.6704383,1038.236166,109.7872068,84.83528594,656.3863729,822.2410168,"UBT"
"521","Gga2",2487.725777,2586.278894,5494.925624,6052.995402,2496.143357,2548.263881,4781.953354,4935.393703,"UBT"
"522","Cnpy2",953.3754428,985.9679646,2232.607833,2193.230264,915.706445,848.7978948,2526.924974,2996.620874,"UBT"
"523","Hebp1",274.7026,258.3158,915.8382,1076.7,255.386315,266.6994918,640.9416945,653.2413322,"UBT"
"525","Ms4a6d",66.62361,69.71147,960.848,1390.437,25.37923891,19.19573099,181.3470288,247.2699972,"UBT"
"526","Rab7b",88.92403,85.74842,589.7182,769.6939,72.41728991,72.76324431,171.881582,242.7996127,"UBT"
"529","Slc1a3",115.5898,95.71093,1228.796,962.6832,48.22177865,44.19913342,676.8878602,459.6770259,"UBT"
"530","Gm5431",20.66456,22.04282,363.4011,416.5356,17.58957533,19.41172498,69.34823013,90.28507744,"UBT"
"531","Ggh",716.3389172,692.911211,1773.20061,1761.398125,704.560212,664.6204885,1568.997384,1705.780111,"UBT"
"534","Slc7a8",353.2261,403.4923,3176.355,4155.381,413.8692173,383.1569352,1519.706458,2056.228634,"UBT"
"535","Spi1",36.14329,42.83653,843.348,1254.511,15.42270046,8.89982469,163.4456923,265.7544296,"UBT"
"536","Sema6b",32.73794,31.13473,393.8422,490.2239,16.35373908,15.02749906,98.30176226,110.169297,"UBT"
"537","Clec5a",65.36436107,89.40939536,861.6483461,957.929978,26.38877556,12.93471289,215.9121531,412.200856,"UBT"
"538","Podxl2",156.6591,148.9322,634.6476,598.6599,149.2844066,145.0957999,570.2742612,651.7686586,"UBT"
"539","Adam15",1673.086586,1728.575093,3551.212718,3923.763531,1636.954882,1576.549318,2959.707797,2743.312802,"UBT"
