"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1574",4505,"Tpp2",2460.135,2343.148,1770.443,1729.828,2275.241243,2152.434163,1577.883331,1558.887743,"DBT"
"1575",4507,"Trib1",677.8641,729.4243,381.1366,460.0183,634.1953084,633.8563259,317.3724079,298.3827066,"DBT"
"1576",4509,"Dph6",692.7896397,674.2204048,455.7710065,475.0974188,618.9504201,606.5294513,475.1671541,478.5321855,"DBT"
"1577",4510,"Slc13a5",3312.358,3411.264,180.3742,468.3788,2747.332996,2787.173438,190.5430089,300.5128375,"DBT"
"1578",4513,"Gm3468",89.57661521,96.83135682,26.08030018,37.48007004,99.60023221,93.15371642,46.99485073,42.85518488,"DBT"
"1579",4514,"Son",6049.415,5847.453,4758.706,4497.117,5495.575923,5915.936645,4385.636196,4073.824627,"DBT"
"1580",4515,"Chordc1",637.6562165,617.9022122,389.746887,436.1560401,557.7754653,567.6573008,445.2201862,454.1220231,"DBT"
"1581",4516,"Dda1",3803.04948,4047.921038,3036.920987,3095.015134,4197.836265,4257.922254,3707.771548,3766.150858,"DBT"
"1582",4518,"Shq1",347.5081,339.5716,210.149,207.1185,300.6272523,340.2904214,191.46559,188.2429522,"DBT"
"1583",4521,"Mthfd1",423.9669,436.0622,277.1151,301.0028,370.3045504,349.1396828,266.3141066,273.5372659,"DBT"
"1585",4529,"Phldb2",1098.312,1033.369,635.2,498.7092,926.1564506,932.3569799,666.1999222,507.3119469,"DBT"
"1587",4538,"Gabpb1",1148.785821,1053.360021,793.6362324,742.6993248,1155.75488,1111.715529,845.2420118,799.2393884,"DBT"
"1589",4543,"Recql4",356.9775,332.3421,198.1546,217.3553,213.0293013,215.8767762,149.3119924,170.1568438,"DBT"
"1590",4546,"Hectd2",142.4186,128.5291,58.44968,39.39729,111.491947,120.9761362,56.58999255,71.48692912,"DBT"
"1591",4547,"Dnajb9",710.6142351,700.1715361,512.0061095,476.3638708,669.4085565,726.429884,585.0599998,513.4035604,"DBT"
"1592",4552,"5-Mar",2383.672,2381.31,1796.147,1903.823,2236.249938,2189.750288,1944.435243,2038.504801,"DBT"
"1593",4555,"Abhd17c",1761.228442,1571.748805,1235.352404,1250.505632,1525.110179,1559.130124,1230.236585,1067.168126,"DBT"
"1594",4557,"Asap1",6130.383113,5914.605929,4719.79909,4810.280871,5548.758632,5347.714561,4821.59916,4863.307636,"DBT"
"1596",4563,"Sidt2",1247.074,1341.707,862.1219,967.8919,1332.21983,1270.775922,1109.140534,1091.119531,"DBT"
"1597",4569,"1700009N14Rik",92.57579482,93.92157494,16.98468017,7.176825889,98.6970616,97.05862488,26.21987607,28.50003898,"DBT"
"1598",4573,"Zfp503",1891.962,1832.651,1483.329,1336.94,2191.856526,2144.533426,1967.5395,1791.280228,"DBT"
"1599",4574,"Nhlrc2",992.2687,997.6771,705.4304,698.2026,957.6546571,966.8887774,747.7908655,694.5565055,"DBT"
"1600",4577,"Zwilch",338.5792,317.139,192.3402,168.5928,184.8806755,228.3390117,138.2065541,164.6061192,"DBT"
"1602",4582,"Wdr46",322.9404,337.7412,200.2298,231.4624,297.5322764,285.9491227,187.0361861,199.4692184,"DBT"
"1603",4584,"Pphln1",2349.1,2243.864,1765.217,1757.04,2055.790551,2071.753655,1858.69935,1739.460874,"DBT"
"1605",4586,"Tmed5",2391.049,2521.421,1705.985,1721.524,2592.597473,2598.765849,1493.54125,1281.140932,"DBT"
"1607",4589,"Pabpn1",2770.205,2865.023,2126.688,2229.93,2605.474619,2614.070986,2252.582676,2400.59323,"DBT"
"1608",4596,"Tspan2",77.60632,92.16701,27.36436,20.54781,119.5711347,112.387358,61.75983386,46.42912179,"DBT"
"1610",4604,"Zcchc7",1383.496,1393.069,937.2839,771.7004,1536.434621,1453.265233,741.8037548,832.9731618,"DBT"
"1611",4607,"Stt3b",11508.16,11089.45,9387.999,8924.896,10546.90481,10466.61723,9582.840306,8507.789414,"DBT"
"1613",4612,"Socs4",1399.449,1336.972,1035.015,983.3529,1304.582551,1312.602356,1021.526372,914.5597733,"DBT"
"1614",4614,"Ostn",98.86735,92.96385,19.2493,32.80835,132.8990136,138.6551784,8.390360342,22.16669698,"DBT"
"1615",4615,"Ppp1r12a",2586.477,2508.859,1890.086,1636.331,2739.668702,2566.859848,2156.926933,2122.859631,"DBT"
"1616",4617,"Dnah6",53.75571925,52.89744475,4.51481433,6.131974243,45.78188491,32.24971823,3.136359327,5.26098225,"DBT"
"1617",4618,"Luzp1",3956.248,4069.272,2504.069,1985.255,4471.377059,4358.353832,2841.504945,2599.630931,"DBT"
"1618",4619,"Rad54l2",303.7182,291.7896,176.7263,204.6167,274.183687,268.2924955,211.0567986,197.0216007,"DBT"
"1619",4623,"Zbtb10",596.7993,568.3221,278.5489,193.7743,630.2943608,615.8639422,384.067076,358.0446667,"DBT"
"1621",4628,"Hmgxb3",2342.924,2386.375,1650.292,1857.621,2369.998026,2256.55169,1633.160893,1678.888876,"DBT"
"1622",4629,"Vopp1",1643.553,1581.428,1265.313,1140.289,1701.87858,1720.0059,1496.169016,1539.919351,"DBT"
"1624",4633,"Ints13",568.411,553.4327,359.4829,368.7712,538.915605,491.635186,418.0921686,413.1018695,"DBT"
"1625",4636,"Gjb4",50.35407405,63.27551479,6.796775268,12.30835259,57.67951085,62.87954238,9.443199477,4.22306405,"DBT"
"1627",4640,"Akirin2",1440.482455,1501.919797,1160.759281,1058.687851,1531.77231,1531.359108,1209.756425,1074.120451,"DBT"
"1628",4643,"Mob4",739.4451,776.4494,546.6613,501.7314,799.1952095,743.3194339,604.7116944,669.6419669,"DBT"
"1629",4644,"Acsl4",2208.177463,2033.253415,1497.735919,1632.66297,1678.29992,1749.53167,1415.787452,1181.170481,"DBT"
"1630",4648,"Fam208b",344.4281766,291.1431089,166.4593609,128.3658561,326.1242721,290.8609665,226.2524588,205.8530708,"DBT"
"1632",4659,"Rrp1b",223.8193,214.5388,108.0592,121.0241,155.3082174,165.3624848,88.62933518,73.70061698,"DBT"
"1634",4661,"Gtf2f2",920.3652,868.2954,655.6087,620.2828,931.2702941,834.704174,622.9842554,646.0008835,"DBT"
"1635",4663,"Cyp1a1",7.307072669,7.791456567,0,0,12.90998706,14.09073115,0,2.145134546,"DBT"
"1636",4664,"Bdkrb2",64.71317696,88.17127443,20.3816162,19.47995598,68.40390408,87.81494632,30.41505624,41.16672297,"DBT"
"1637",4669,"Utp11",3458.574,3196.567,2614.787,2489.639,3116.544068,3281.797234,2667.652835,2747.41134,"DBT"
"1638",4672,"Ythdf3",3412.978,3175.21,2437.426,2631.467,3271.884265,3192.112707,2597.778978,2391.803366,"DBT"
"1639",4673,"Lama2",3059.341,3056.924,1726.013,1294.894,3054.096159,2999.996562,2129.76039,1619.756277,"DBT"
"1640",4674,"Lce1h",14.38071,25.87635,0,1.025261,20.52117122,12.94114998,0,1.055556999,"DBT"
"1641",4675,"Spred3",319.7932,296.7365,163.2261,159.375,331.5813495,328.1466692,223.8234976,210.3981233,"DBT"
"1642",4677,"Palm2",1242.135,957.4057,468.4785,434.9592,1304.457632,1244.486181,528.6626583,652.3329525,"DBT"
"1643",4678,"Pcsk6",1255.722,1161.499,374.7784,550.8673,1132.205036,1158.228045,315.5024496,349.0016769,"DBT"
"1644",4680,"Gnai3",8763.243,8172.135,6784.814,6892.829,7745.276339,7835.866315,7003.853296,6871.676065,"DBT"
"1646",4684,"Esd",15695.52561,15177.85995,8643.177198,10470.31572,14757.68784,15697.09392,6775.062368,7242.742698,"DBT"
"1647",4686,"Mcam",163.0293,196.5622,62.28755,38.12066,242.7953764,243.0323792,111.4395287,109.591235,"DBT"
"1648",4687,"Aif1l",106.8374717,96.91624333,30.97426085,32.80717683,118.0783011,125.1550184,69.01898912,85.46224877,"DBT"
"1649",4689,"Zfpm1",178.8924,228.563,107.0934,92.56354,211.7583415,213.8587298,118.4569054,128.7425953,"DBT"
"1650",4695,"Spred2",1614.572,1552.072,1178.221,1200.618,1607.431917,1593.51284,1358.645352,1327.561771,"DBT"
"1654",4707,"Picalm",12412.85,12573.92,8851.647,7439.277,13668.36848,13629.37995,10066.34006,8116.904734,"DBT"
"1656",4711,"Lrrc8a",1414.098,1391.862,1027.191,1050.721,1317.973301,1353.503232,1092.168533,917.3268328,"DBT"
"1657",4717,"Grk3",121.5836,122.2488,34.2841,17.87978,115.2731625,114.661668,29.33043616,33.16191674,"DBT"
"1659",4722,"Senp6",1537.182,1299.199,916.0556,829.1112,1460.249812,1477.683659,1209.832928,1123.718717,"DBT"
"1661",4726,"Ruvbl2",714.2926,713.3765,480.3827,541.9087,585.3072569,603.0835614,423.5542004,460.604065,"DBT"
"1662",4731,"Gm340",288.5129139,298.0572429,185.6991698,147.6375611,281.4332054,266.2179425,222.3445491,211.1113999,"DBT"
"1663",4736,"Rnmt",918.3963,935.8725,670.9489,569.9621,907.6890094,937.3633499,669.4733003,681.5975149,"DBT"
"1665",4744,"9530053A07Rik",61.45793547,65.9484785,8.930104893,8.439944232,77.64449106,77.58520135,11.24431698,9.546094977,"DBT"
"1666",4746,"Reep6",197.5403,147.6127,69.16153,75.2123,159.4223827,116.5888599,97.54179515,88.67937666,"DBT"
"1667",4747,"Bcor",2362.583494,2305.509838,1549.840395,1581.715409,2218.283721,2197.029364,1583.295754,1185.768455,"DBT"
"1668",4753,"Nemf",521.7439,466.0477,341.4872,335.1123,480.9985068,473.6999478,345.2750212,371.564943,"DBT"
"1669",4757,"Bloc1s2",1153.098172,1108.807266,835.6462643,832.5040643,1153.072624,1184.9974,933.4275881,963.7235403,"DBT"
"1671",4762,"Pigl",184.3086,178.3433,81.64686,105.3025,231.1496254,181.5538392,92.77338975,100.8445249,"DBT"
"1672",4764,"Pafah1b1",8798.178,8924.288,7330.472,6937.245,8612.778965,8750.424996,7796.622871,7763.621118,"DBT"
"1674",4767,"Plcb4",276.5778,268.7928,177.2922,143.8428,278.406231,236.3539496,201.8549807,204.9634891,"DBT"
"1675",4768,"Arhgap24",1524.067844,1573.688218,1142.488166,1174.192317,1752.842189,1764.427091,1400.517679,1164.066239,"DBT"
"1678",4775,"Ptbp1",3527.064,3427.983,2669.451,2788.263,3190.7817,3179.116201,2846.210681,2769.607756,"DBT"
"1680",4780,"4930426L09Rik",107.8552949,111.1724765,44.16016844,43.06095533,120.1954315,133.1089713,56.63493231,65.44453395,"DBT"
"1681",4781,"Olfr456",56.62403,47.91917,7.926184,4.101043,49.66788556,61.0082785,5.243975214,7.388898995,"DBT"
"1682",4785,"Chtf8",3461.382561,3303.948655,2560.635256,2671.685189,3235.020115,3125.160049,2523.405251,2742.76455,"DBT"
"1683",4786,"Wdr12",517.6272,485.8235,231.0673,298.7631,436.4862331,430.7383728,194.0126906,231.4776607,"DBT"
"1684",4788,"Casp14",62.35203977,55.60229467,7.033855177,2.122659731,88.65868493,62.21353082,11.94490695,19.39772324,"DBT"
"1685",4789,"Camsap1",204.7798884,208.9935842,109.8953412,128.4326422,204.7901836,193.2143374,124.3983345,126.7982596,"DBT"
"1687",4791,"Ankrd13c",796.9742447,662.3741413,465.2605533,458.3699745,690.9065053,677.1315026,424.8000869,425.2455576,"DBT"
"1688",4793,"Csde1",10342.43451,9673.626186,8127.379989,8146.914891,9317.105113,8981.772784,7922.434385,8280.134725,"DBT"
"1689",4794,"Smg7",1097.629,1053.097,818.0123,743.9524,1081.169427,1076.565061,751.7781437,771.2774984,"DBT"
