"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"126","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ebf3","13593","ENSMUSG00000010476","Microarray","","18619591","validated",NA,NA,NA
"127","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ebf3","13593","ENSMUSG00000010476","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"128","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Stom","13830","ENSMUSG00000026880","Microarray","","18619591","validated",NA,NA,NA
"129","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Stom","13830","ENSMUSG00000026880","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"130","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ephx2","13850","ENSMUSG00000022040","Microarray","","18619591","validated",NA,NA,NA
"131","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ephx2","13850","ENSMUSG00000022040","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"132","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Stx2","13852","ENSMUSG00000029428","Luciferase reporter assay//Microarray//qRT-PCR//Other","","18042700","validated",NA,NA,NA
"133","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Stx2","13852","ENSMUSG00000029428","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","18042700","validated",NA,NA,NA
"134","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Flot2","14252","ENSMUSG00000061981","Microarray","","18619591","validated",NA,NA,NA
"135","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Flot2","14252","ENSMUSG00000061981","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"136","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Fst","14313","ENSMUSG00000021765","Microarray","","18619591","validated",NA,NA,NA
"137","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Fst","14313","ENSMUSG00000021765","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"138","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Gm2a","14667","ENSMUSG00000000594","Microarray","","18619591","validated",NA,NA,NA
"139","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Gm2a","14667","ENSMUSG00000000594","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"140","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Gnb5","14697","ENSMUSG00000032192","Microarray","","18619591","validated",NA,NA,NA
"141","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Gnb5","14697","ENSMUSG00000032192","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"142","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Icam1","15894","ENSMUSG00000037405","Microarray","","18619591","validated",NA,NA,NA
"143","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Icam1","15894","ENSMUSG00000037405","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"144","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Kcnab2","16498","ENSMUSG00000028931","Microarray","","18619591","validated",NA,NA,NA
"145","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Kcnab2","16498","ENSMUSG00000028931","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"146","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arhgef1","16801","ENSMUSG00000040940","Microarray","","18619591","validated",NA,NA,NA
"147","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Arhgef1","16801","ENSMUSG00000040940","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"148","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Tmed1","17083","ENSMUSG00000032180","Microarray","","18619591","validated",NA,NA,NA
"149","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Tmed1","17083","ENSMUSG00000032180","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"150","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Mgrn1","17237","ENSMUSG00000022517","Microarray","","18619591","validated",NA,NA,NA
"151","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Mgrn1","17237","ENSMUSG00000022517","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"152","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Mdk","17242","ENSMUSG00000027239","Microarray","","18619591","validated",NA,NA,NA
"153","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Mdk","17242","ENSMUSG00000027239","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"154","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Nfic","18029","ENSMUSG00000055053","Microarray","","18619591","validated",NA,NA,NA
"155","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Nfic","18029","ENSMUSG00000055053","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"156","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Nsdhl","18194","ENSMUSG00000031349","Microarray","","18619591","validated",NA,NA,NA
"157","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Nsdhl","18194","ENSMUSG00000031349","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"158","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Pfn2","18645","ENSMUSG00000027805","Microarray","","18619591","validated",NA,NA,NA
"159","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Pfn2","18645","ENSMUSG00000027805","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"160","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Pik3r3","18710","ENSMUSG00000028698","Microarray","","18619591","validated",NA,NA,NA
"161","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Pik3r3","18710","ENSMUSG00000028698","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
"162","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ptn","19242","ENSMUSG00000029838","Microarray","","18619591","validated",NA,NA,NA
"163","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ptn","19242","ENSMUSG00000029838","Microarray","Functional MTI (Weak)","18619591","validated",NA,NA,NA
