"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"191",281,"Cd300c2",87.46425874,89.77527767,1611.783278,2236.174142,22.48190787,29.51300554,250.3620014,462.9316944,"UBT"
"192",283,"Ms4a6b",69.45835,47.62962,2421.126,2868.879,58.43375937,15.97653106,316.8542041,783.6533832,"UBT"
"193",285,"Serping1",981.0626,894.4754,5122.521,6063.758,747.839934,745.7615553,2900.682908,2591.017505,"UBT"
"194",286,"Itgb2",338.1834,346.0709,4543.079,6094.514,138.8404758,89.80829546,802.4426616,1323.846376,"UBT"
"195",287,"Ifi27l2a",98.86735,130.3401,7074.685,5095.546,143.6481986,117.3947177,7066.780998,5064.562482,"UBT"
"196",289,"Cd180",31.41083238,27.40689105,1124.731684,1667.102954,8.26264276,12.38017363,202.0083564,289.5351016,"UBT"
"197",290,"Vav1",111.3608,122.3116,2468.323,3458.146,43.9536393,29.69854134,468.4550295,819.1820998,"UBT"
"198",291,"Vkorc1",1333.528,1354.738,3447.699,3303.429,1259.159818,1256.949268,4213.744656,5380.979067,"UBT"
"199",292,"Trem2",215.4059,260.5525,8296.93,11883.06,101.3881151,110.5658277,1014.08311,1624.111589,"UBT"
"200",293,"Wnt16",108.2419,104.9491,823.73,668.5433,73.23234225,51.68626701,662.6395776,249.1959834,"UBT"
"201",295,"Pik3ap1",135.7179,150.4662,3214.634,4529.602,56.67752052,56.38643922,636.618591,993.2791363,"UBT"
"202",296,"Prag1",196.7279,194.1324,939.2289,935.1492,195.1230142,189.8995184,667.0686168,404.384162,"UBT"
"203",297,"Ctss",933.8470953,915.256164,20630.72484,29531.61327,459.283356,356.8059924,3476.755567,5386.507367,"UBT"
"204",298,"Thra",504.3252,490.3862,1511.918,1488.337,505.1700315,483.3644029,1694.008979,1672.629455,"UBT"
"205",299,"Hk3",145.6381,158.3563,6148.019,9361.709,89.63664959,73.27539964,757.2810437,1207.18668,"UBT"
"206",300,"Cd53",162.6817365,199.3437509,4031.03076,5410.301459,65.47230819,76.72253205,563.202938,969.0013253,"UBT"
"207",301,"Gcnt1",226.4566215,247.6790737,1224.05867,1341.515521,147.4770765,206.3203332,381.5859571,583.734646,"UBT"
"208",304,"Fcgrt",1669.610974,1726.570465,4081.82073,4202.109941,1670.448685,1670.676905,3529.35198,3498.633436,"UBT"
"209",307,"Cd302",933.8966953,865.0744874,2524.08278,2409.483554,936.4736238,937.2603338,2650.761874,2809.922651,"UBT"
"210",308,"Itm2a",3312.056,2849.274,14576.25,13512.94,3840.390615,3692.849585,16191.29787,16205.96661,"UBT"
"211",309,"Ech1",549.5624044,552.5913172,1540.927452,1625.72949,532.3443111,514.0235783,1389.804034,1613.443706,"UBT"
"212",312,"Cd68",401.8306361,348.9500549,18651.18822,28853.39114,239.1943322,189.0008034,2805.631838,4384.516919,"UBT"
"213",314,"Ctsf",823.295418,868.2953765,2279.344079,2344.771544,1004.560191,1017.729009,2361.886436,2594.559104,"UBT"
"214",316,"Col16a1",936.5163166,946.184956,2467.226898,2403.110818,894.3778317,913.1437125,3004.712885,2998.146924,"UBT"
"215",317,"Plcg2",383.7851,411.1465,2776.429,3457.18,242.3452602,246.8062176,722.6197845,978.5013383,"UBT"
"216",319,"C1qtnf2",133.0836181,143.70669,998.3132184,820.4245906,133.7497738,135.9941041,1036.032218,1084.354839,"UBT"
"217",320,"Aes",2449.408843,2555.740119,5714.60311,6239.77236,2660.909042,2476.346178,5658.068571,5937.119454,"UBT"
