D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
176.5626299,178.6000252,178.2716148,184.0332939,Sart3
1218.841381,1270.456601,636.5601816,617.1533331,Sash1
8.794787667,12.94114998,146.831306,304.0004158,Sash3
189.5906519,193.2789685,175.3614088,195.4972031,Sass6
1835.964251,1882.654266,2644.320285,2964.074376,Sat1
194.913054,172.8338016,535.0493562,608.6405105,Sat2
124.4903852,104.0798288,125.2666023,204.8673494,Satb1
1722.345893,1512.452848,1009.036822,1178.891767,Satb2
0,0,0,0,Satl1
2778.195781,2779.102287,3183.241047,2990.642917,Sav1
0,0,0,0.671648352,Saxo1
73.13176331,69.92275902,71.93185809,123.5332808,Saxo2
134.7509558,134.5684659,226.2528522,242.6574271,Saysd1
1144.254528,1148.106207,705.6525521,802.5264061,Sbds
618.0536906,654.1015911,590.4173954,622.7497095,Sbf1
850.5747616,821.9923719,838.4759898,871.2247596,Sbf2
29.29184896,41.11046033,46.1177631,64.92772007,Sbk1
10.36944048,4.891411917,3.994138373,2.908945009,Sbk2
4.466136589,6.333782862,7.16877914,0.678135916,Sbk3
630.0976078,642.3085965,545.5221822,490.788018,Sbno1
2943.838122,2971.51264,1490.108493,1487.96864,Sbno2
0,0,0,0,Sbp
0,0,0,0,Sbpl
305.2906723,274.5117248,60.4451283,63.56945712,Sbsn
61.56351367,43.44528923,160.4656415,185.7780319,Sbspon
1537.794469,1502.332144,2279.341887,2254.390603,Sc5d
2365.803697,2652.659306,1974.148984,1924.671919,Scaf1
4405.950897,4418.478352,3813.418776,3600.504924,Scaf11
1717.914949,1646.370503,1295.260835,1259.260432,Scaf4
2409.771821,2387.642172,2286.373193,2119.553711,Scaf8
150.9936888,163.0033713,192.6428483,201.014332,Scai
729.4511672,776.9282597,832.34845,642.1120943,Scamp1
367.6521052,294.1532117,392.2434721,448.1906718,Scamp2
1691.866598,1575.901116,2035.660255,2103.552186,Scamp3
370.439118,402.4086215,344.340427,354.8260665,Scamp4
