ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-6963-5p,0,0,1,0
mmu-miR-6963-3p,13,7,13,6
mmu-miR-6962-5p,3,1,0,1
mmu-miR-6962-3p,0,3,1,1
mmu-miR-6960-5p,6,2,12,6
mmu-miR-6960-3p,0,0,0,0
mmu-miR-6959-5p,2,2,0,0
mmu-miR-6959-3p,0,0,0,1
mmu-miR-6958-3p,6,7,2,3
mmu-miR-6956-5p,0,0,1,1
mmu-miR-6956-3p,1,0,2,2
mmu-miR-6955-5p,1,4,4,1
mmu-miR-6955-3p,0,2,4,5
mmu-miR-6954-5p,5,1,0,0
mmu-miR-6954-3p,2,0,1,1
mmu-miR-6953-3p,0,1,0,0
mmu-miR-6952-5p,1,4,2,2
mmu-miR-6952-3p,3,3,2,4
mmu-miR-6951-5p,0,3,4,2
mmu-miR-6950-5p,4,4,3,6
mmu-miR-6950-3p,0,0,0,1
mmu-miR-6948-5p,10,10,15,16
mmu-miR-6948-3p,12,15,5,12
mmu-miR-6947-5p,1,0,1,0
mmu-miR-6947-3p,1,0,0,0
mmu-miR-6946-5p,2,2,3,0
mmu-miR-6946-3p,2,0,5,2
mmu-miR-6945-5p,3,4,1,0
mmu-miR-6945-3p,42,46,25,16
mmu-miR-6944-5p,3,0,0,0
mmu-miR-6944-3p,43,110,94,92
mmu-miR-6943-5p,0,0,0,0
mmu-miR-6943-3p,2,0,0,0
mmu-miR-6942-5p,0,2,3,0
mmu-miR-6942-3p,3,1,0,2
mmu-miR-6940-3p,20,22,19,12
mmu-miR-694,2,3,4,4
mmu-miR-6939-5p,0,0,0,0
mmu-miR-6939-3p,0,3,0,2
mmu-miR-6938-5p,1,1,0,0
mmu-miR-6938-3p,1,1,3,0
mmu-miR-6937-5p,1,1,1,5
mmu-miR-6937-3p,1,0,1,6
mmu-miR-6936-3p,2,3,3,2
mmu-miR-6935-5p,7,3,4,2
mmu-miR-6934-5p,1,1,0,1
mmu-miR-6933-5p,38,36,31,28
mmu-miR-6933-3p,1,1,0,0
mmu-miR-6932-5p,0,6,8,2
mmu-miR-6932-3p,0,0,1,0
mmu-miR-6931-5p,4,0,2,0
mmu-miR-6930-5p,0,0,2,0
mmu-miR-693-5p,1,1,0,1
mmu-miR-693-3p,2,3,1,0
mmu-miR-6929-5p,0,0,2,1
mmu-miR-6929-3p,0,0,5,0
mmu-miR-6928-5p,2,0,1,0
mmu-miR-6928-3p,0,0,0,1
mmu-miR-6927-5p,1,0,0,0
mmu-miR-6927-3p,2,0,2,0
mmu-miR-6925-5p,4,2,3,4
mmu-miR-6922-5p,0,1,1,1
mmu-miR-6922-3p,2,1,1,4
mmu-miR-6921-5p,0,0,2,0
mmu-miR-6921-3p,1,1,0,2
mmu-miR-6920-5p,1,0,1,1
mmu-miR-6920-3p,2,0,0,0
mmu-miR-692,0,0,1,1
mmu-miR-6919-3p,1,0,0,0
mmu-miR-6918-5p,3,0,0,0
mmu-miR-6916-5p,0,2,3,3
mmu-miR-6916-3p,2,0,0,0
